Sl. No.,image name,noise variance,ssim value
1,0036.png,15,0.9122770914862258
2,0040.png,15,0.8725227679467003
3,0044.png,15,0.8551615462503478
4,0000.png,15,0.966382914560477
5,0033.png,15,0.9416717769798927
6,0025.png,15,0.8898536988739496
7,0035.png,15,0.9316856196662234
8,0061.png,15,0.8480674940653039
9,0020.png,15,0.8960959375380484
10,0008.png,15,0.8666800352383722
11,0011.png,15,0.8992111074345336
12,0059.png,15,0.8435225339448262
13,0066.png,15,0.8737200504885141
14,0047.png,15,0.8921208044599646
15,0054.png,15,0.8206698938887356
16,0056.png,15,0.8705437368821535
17,0039.png,15,0.6899090863928943
18,0051.png,15,0.8753175915464326
19,0026.png,15,0.9185462263034609
20,0027.png,15,0.8879039281458981
21,0013.png,15,0.9228344414750707
22,0021.png,15,0.8640720840171026
23,0048.png,15,0.8731165853891273
24,0042.png,15,0.9261558918524907
25,0007.png,15,0.9416115276773547
26,0063.png,15,0.9376221228176187
27,0029.png,15,0.9091889918512894
28,0003.png,15,0.8676786214962929
29,0038.png,15,0.8892164770035648
30,0009.png,15,0.921684482229036
31,0015.png,15,0.8673893553586438
32,0034.png,15,0.8582648973151432
33,0017.png,15,0.8769687314367804
34,0023.png,15,0.9124284913198413
35,0032.png,15,0.8827088617048049
36,0002.png,15,0.8889604016850596
37,0045.png,15,0.907880144723281
38,0018.png,15,0.912599071863567
39,0016.png,15,0.8965030399815123
40,0014.png,15,0.8797311090567816
41,0050.png,15,0.8494500859160867
42,0012.png,15,0.9007246456321277
43,0053.png,15,0.8553187554050117
44,0046.png,15,0.9192930241302949
45,0049.png,15,0.8956687526175325
46,0052.png,15,0.8654047777782033
47,0060.png,15,0.846270426245572
48,0064.png,15,0.9107715845515355
49,0019.png,15,0.8857714133767974
50,0024.png,15,0.8801513560088777
51,0067.png,15,0.939133641584137
52,0057.png,15,0.9318795354999619
53,0037.png,15,0.9458472679961668
54,0062.png,15,0.8441544204160817
55,0004.png,15,0.8838729521113027
56,0010.png,15,0.9010174554026691
57,0001.png,15,0.8591951940878417
58,0041.png,15,0.8633776844548599
59,0006.png,15,0.9356101377634854
60,0058.png,15,0.9147381011013334
61,0030.png,15,0.9526406947111008
62,0031.png,15,0.882611086142902
63,0005.png,15,0.8335401971772223
64,0028.png,15,0.9055070868945617
65,0043.png,15,0.8981279031221573
66,0055.png,15,0.8734395720182557
67,0065.png,15,0.8494896074321049
68,0022.png,15,0.8973986251012633
