23-04-29 17:09:01.099 : Model path: model_zoo/dncnn_15.pth
23-04-29 17:09:01.099 : Params number: 555137
23-04-29 17:09:01.099 : model_name:dncnn_15, image sigma:15
23-04-29 17:09:01.099 : testsets/noisy15
23-04-29 17:09:53.385 : 0067.png - PSNR: 27.82 dB; SSIM: 0.8015.
23-04-29 17:09:53.388 : Average PSNR/SSIM(RGB) - noisy15_dncnn_15 - PSNR: 28.12 dB; SSIM: 0.7503
23-04-29 17:15:52.896 : Model path: model_zoo/dncnn_15.pth
23-04-29 17:15:52.896 : Params number: 555137
23-04-29 17:15:52.896 : model_name:dncnn_15, image sigma:15
23-04-29 17:15:52.896 : testsets/noisy15
23-04-29 17:15:53.586 : 0000.png - PSNR: 29.23 dB; SSIM: 0.6209.
23-04-29 17:15:54.292 : 0001.png - PSNR: 27.89 dB; SSIM: 0.7769.
23-04-29 17:15:55.011 : 0002.png - PSNR: 29.01 dB; SSIM: 0.6460.
23-04-29 17:15:55.730 : 0003.png - PSNR: 28.01 dB; SSIM: 0.7647.
23-04-29 17:15:56.450 : 0004.png - PSNR: 27.84 dB; SSIM: 0.7580.
23-04-29 17:15:57.178 : 0005.png - PSNR: 28.29 dB; SSIM: 0.7479.
23-04-29 17:15:57.914 : 0006.png - PSNR: 28.63 dB; SSIM: 0.7800.
23-04-29 17:15:58.667 : 0007.png - PSNR: 26.72 dB; SSIM: 0.8997.
23-04-29 17:15:59.442 : 0008.png - PSNR: 27.15 dB; SSIM: 0.8148.
23-04-29 17:16:00.199 : 0009.png - PSNR: 28.97 dB; SSIM: 0.7239.
23-04-29 17:16:00.993 : 0010.png - PSNR: 28.39 dB; SSIM: 0.7080.
23-04-29 17:16:01.776 : 0011.png - PSNR: 28.38 dB; SSIM: 0.7185.
23-04-29 17:16:02.544 : 0012.png - PSNR: 28.13 dB; SSIM: 0.7840.
23-04-29 17:16:03.296 : 0013.png - PSNR: 29.04 dB; SSIM: 0.6707.
23-04-29 17:16:04.092 : 0014.png - PSNR: 27.98 dB; SSIM: 0.7899.
23-04-29 17:16:04.899 : 0015.png - PSNR: 27.29 dB; SSIM: 0.8070.
23-04-29 17:16:05.682 : 0016.png - PSNR: 28.10 dB; SSIM: 0.7469.
23-04-29 17:16:06.474 : 0017.png - PSNR: 28.24 dB; SSIM: 0.7238.
23-04-29 17:16:07.245 : 0018.png - PSNR: 28.28 dB; SSIM: 0.8117.
23-04-29 17:16:08.028 : 0019.png - PSNR: 28.16 dB; SSIM: 0.7471.
23-04-29 17:16:08.817 : 0020.png - PSNR: 28.49 dB; SSIM: 0.6948.
23-04-29 17:16:09.635 : 0021.png - PSNR: 27.66 dB; SSIM: 0.7743.
23-04-29 17:16:10.431 : 0022.png - PSNR: 27.82 dB; SSIM: 0.8293.
23-04-29 17:16:11.264 : 0023.png - PSNR: 28.86 dB; SSIM: 0.6605.
23-04-29 17:16:12.076 : 0024.png - PSNR: 28.11 dB; SSIM: 0.7461.
23-04-29 17:16:12.868 : 0025.png - PSNR: 28.27 dB; SSIM: 0.7052.
23-04-29 17:16:13.654 : 0026.png - PSNR: 27.51 dB; SSIM: 0.8353.
23-04-29 17:16:14.479 : 0027.png - PSNR: 27.63 dB; SSIM: 0.8302.
23-04-29 17:16:15.262 : 0028.png - PSNR: 28.12 dB; SSIM: 0.7664.
23-04-29 17:16:16.090 : 0029.png - PSNR: 28.17 dB; SSIM: 0.7773.
23-04-29 17:16:16.909 : 0030.png - PSNR: 28.22 dB; SSIM: 0.7172.
23-04-29 17:16:17.727 : 0031.png - PSNR: 28.31 dB; SSIM: 0.7251.
