Sl. No.,image name,noise variance,ssim value
481,0038.png,15,0.9043941164429524
321,0061.png,15,0.8536386969343961
321,0029.png,15,0.7771469525397151
321,0024.png,15,0.7287185349187558
481,0041.png,15,0.7423639013484706
481,0056.png,15,0.6719498929725991
321,0005.png,15,0.7527041988944918
481,0042.png,15,0.8870492629113692
321,0031.png,15,0.8102567602337097
321,0049.png,15,0.632685215176422
321,0014.png,15,0.720832059917096
321,0054.png,15,0.8536875322488018
321,0032.png,15,0.8865724219331096
481,0009.png,15,0.8144441942690308
321,0048.png,15,0.5917307987369448
321,0020.png,15,0.8264034979390471
321,0015.png,15,0.5988656575857277
321,0000.png,15,0.9688357317332037
481,0010.png,15,0.8078906650136582
321,0046.png,15,0.6529346901058455
321,0050.png,15,0.8732491369028603
321,0058.png,15,0.7420456478169255
321,0018.png,15,0.6530952104577398
321,0025.png,15,0.8025136606319864
321,0012.png,15,0.7165450395112499
321,0064.png,15,0.6414279268312302
481,0008.png,15,0.5892006739769424
481,0007.png,15,0.5172999264236517
321,0059.png,15,0.8496072078001131
321,0016.png,15,0.7824430075241435
321,0036.png,15,0.6284817198497308
321,0011.png,15,0.8469038854875207
321,0013.png,15,0.9013223291292426
481,0035.png,15,0.40355211265206503
321,0034.png,15,0.822005014302458
481,0065.png,15,0.6537338515234016
321,0023.png,15,0.8965670590815831
321,0067.png,15,0.6313758790201259
321,0001.png,15,0.7175496532997722
321,0053.png,15,0.8727356559679639
321,0045.png,15,0.8325228797427754
321,0017.png,15,0.8126009384768259
321,0060.png,15,0.8226099079140744
321,0051.png,15,0.6443913455789767
321,0003.png,15,0.748405845990501
321,0006.png,15,0.7776292295614433
321,0037.png,15,0.7210476406318577
481,0055.png,15,0.7440771173285328
321,0021.png,15,0.6893788526282224
321,0022.png,15,0.6672247728978369
321,0040.png,15,0.7475136096084019
321,0052.png,15,0.6893351872851875
321,0044.png,15,0.7811064688563594
321,0019.png,15,0.8088454460073932
321,0028.png,15,0.7606483154276321
321,0062.png,15,0.8210306683481915
481,0047.png,15,0.8913216698324571
321,0057.png,15,0.4294594497664442
321,0039.png,15,0.6699597712746769
321,0043.png,15,0.7045820113369723
481,0033.png,15,0.4892955393037512
321,0004.png,15,0.7397276658307677
321,0066.png,15,0.7772536426051998
481,0026.png,15,0.5866482484844399
481,0063.png,15,0.8991445608676502
321,0027.png,15,0.5843488145227955
321,0002.png,15,0.8974135157083976
321,0030.png,15,0.8113357855416239
