23-04-29 17:31:20.572 : Model path: model_zoo/dncnn_25.pth
23-04-29 17:31:20.573 : Params number: 555137
23-04-29 17:31:20.573 : model_name:dncnn_25, image sigma:25
23-04-29 17:31:20.573 : testsets/bsd68
23-04-29 17:32:32.396 : Average PSNR/SSIM(RGB) - bsd68_dncnn_25 - PSNR: 29.23 dB; SSIM: 0.8279
23-04-29 17:32:32.397 : Std Dev : PSNR: 2.58 dB; SSIM: 0.0576
23-04-29 20:28:33.410 : Model path: model_zoo/dncnn_25.pth
23-04-29 20:28:33.410 : Params number: 555137
23-04-29 20:28:33.410 : model_name:dncnn_25, image sigma:25
23-04-29 20:28:33.410 : testsets/bsd68
23-04-29 20:28:34.112 : test001.png - PSNR: 25.96 dB; SSIM: 0.7297.
23-04-29 20:28:34.822 : test002.png - PSNR: 30.29 dB; SSIM: 0.8731.
23-04-29 20:28:35.560 : test003.png - PSNR: 30.17 dB; SSIM: 0.8652.
23-04-29 20:28:36.292 : test004.png - PSNR: 30.74 dB; SSIM: 0.8510.
23-04-29 20:28:37.035 : test005.png - PSNR: 27.68 dB; SSIM: 0.8188.
23-04-29 20:28:37.770 : test006.png - PSNR: 33.07 dB; SSIM: 0.8990.
23-04-29 20:28:38.551 : test007.png - PSNR: 28.76 dB; SSIM: 0.8236.
23-04-29 20:28:39.331 : test008.png - PSNR: 26.29 dB; SSIM: 0.7649.
23-04-29 20:28:40.088 : test009.png - PSNR: 29.14 dB; SSIM: 0.8394.
23-04-29 20:28:40.841 : test010.png - PSNR: 29.84 dB; SSIM: 0.8208.
23-04-29 20:28:41.627 : test011.png - PSNR: 29.17 dB; SSIM: 0.8781.
23-04-29 20:28:42.390 : test012.png - PSNR: 28.45 dB; SSIM: 0.7852.
23-04-29 20:28:43.165 : test013.png - PSNR: 29.62 dB; SSIM: 0.8221.
23-04-29 20:28:43.937 : test014.png - PSNR: 30.94 dB; SSIM: 0.8549.
23-04-29 20:28:44.714 : test015.png - PSNR: 27.31 dB; SSIM: 0.7848.
23-04-29 20:28:45.516 : test016.png - PSNR: 28.23 dB; SSIM: 0.8555.
23-04-29 20:28:46.310 : test017.png - PSNR: 33.00 dB; SSIM: 0.8684.
23-04-29 20:28:47.078 : test018.png - PSNR: 33.08 dB; SSIM: 0.8940.
23-04-29 20:28:47.888 : test019.png - PSNR: 28.32 dB; SSIM: 0.8173.
23-04-29 20:28:48.695 : test020.png - PSNR: 28.99 dB; SSIM: 0.8447.
23-04-29 20:28:49.498 : test021.png - PSNR: 26.46 dB; SSIM: 0.8715.
23-04-29 20:28:50.292 : test022.png - PSNR: 27.21 dB; SSIM: 0.8109.
23-04-29 20:28:51.099 : test023.png - PSNR: 29.00 dB; SSIM: 0.8635.
23-04-29 20:28:51.911 : test024.png - PSNR: 28.78 dB; SSIM: 0.8606.
23-04-29 20:28:52.707 : test025.png - PSNR: 29.56 dB; SSIM: 0.9132.
23-04-29 20:28:53.504 : test026.png - PSNR: 28.65 dB; SSIM: 0.7986.
23-04-29 20:28:54.304 : test027.png - PSNR: 30.09 dB; SSIM: 0.8275.
23-04-29 20:28:55.121 : test028.png - PSNR: 33.22 dB; SSIM: 0.8835.
23-04-29 20:28:55.931 : test029.png - PSNR: 24.49 dB; SSIM: 0.8370.
23-04-29 20:28:56.733 : test030.png - PSNR: 29.94 dB; SSIM: 0.8045.
23-04-29 20:28:57.560 : test031.png - PSNR: 24.70 dB; SSIM: 0.8156.
23-04-29 20:28:58.367 : test032.png - PSNR: 26.71 dB; SSIM: 0.8126.
23-04-29 20:28:59.183 : test033.png - PSNR: 27.98 dB; SSIM: 0.8964.
23-04-29 20:28:59.995 : test034.png - PSNR: 33.68 dB; SSIM: 0.8690.
23-04-29 20:29:00.801 : test035.png - PSNR: 28.17 dB; SSIM: 0.7989.
23-04-29 20:29:01.622 : test036.png - PSNR: 27.53 dB; SSIM: 0.5474.
23-04-29 20:29:02.448 : test037.png - PSNR: 28.63 dB; SSIM: 0.7817.
23-04-29 20:29:03.266 : test038.png - PSNR: 29.23 dB; SSIM: 0.8035.
23-04-29 20:29:04.101 : test039.png - PSNR: 33.26 dB; SSIM: 0.9127.
23-04-29 20:29:04.947 : test040.png - PSNR: 29.52 dB; SSIM: 0.7888.
23-04-29 20:29:05.763 : test041.png - PSNR: 28.10 dB; SSIM: 0.8227.
23-04-29 20:29:06.578 : test042.png - PSNR: 29.75 dB; SSIM: 0.8131.
23-04-29 20:29:07.487 : test043.png - PSNR: 30.55 dB; SSIM: 0.8870.
23-04-29 20:29:08.395 : test044.png - PSNR: 27.80 dB; SSIM: 0.8511.
23-04-29 20:29:09.302 : test045.png - PSNR: 33.67 dB; SSIM: 0.8674.
23-04-29 20:29:10.236 : test046.png - PSNR: 26.49 dB; SSIM: 0.7846.
23-04-29 20:29:11.142 : test047.png - PSNR: 26.70 dB; SSIM: 0.7858.
23-04-29 20:29:12.063 : test048.png - PSNR: 30.11 dB; SSIM: 0.9166.
23-04-29 20:29:12.973 : test049.png - PSNR: 31.61 dB; SSIM: 0.8180.
23-04-29 20:29:13.869 : test050.png - PSNR: 26.99 dB; SSIM: 0.7816.
23-04-29 20:29:14.774 : test051.png - PSNR: 28.66 dB; SSIM: 0.8124.
23-04-29 20:29:15.674 : test052.png - PSNR: 32.12 dB; SSIM: 0.8304.
23-04-29 20:29:16.585 : test053.png - PSNR: 31.17 dB; SSIM: 0.7753.
23-04-29 20:29:17.485 : test054.png - PSNR: 29.28 dB; SSIM: 0.8257.
23-04-29 20:29:18.402 : test055.png - PSNR: 27.71 dB; SSIM: 0.7888.
23-04-29 20:29:19.322 : test056.png - PSNR: 24.11 dB; SSIM: 0.7774.
23-04-29 20:29:20.229 : test057.png - PSNR: 28.39 dB; SSIM: 0.8176.
23-04-29 20:29:21.117 : test058.png - PSNR: 30.95 dB; SSIM: 0.7873.
23-04-29 20:29:22.016 : test059.png - PSNR: 30.47 dB; SSIM: 0.7856.
23-04-29 20:29:22.942 : test060.png - PSNR: 31.06 dB; SSIM: 0.7998.
23-04-29 20:29:23.833 : test061.png - PSNR: 30.29 dB; SSIM: 0.7997.
23-04-29 20:29:24.735 : test062.png - PSNR: 34.17 dB; SSIM: 0.9368.
23-04-29 20:29:25.624 : test063.png - PSNR: 26.63 dB; SSIM: 0.8242.
23-04-29 20:29:26.533 : test064.png - PSNR: 26.80 dB; SSIM: 0.7252.
23-04-29 20:29:27.438 : test065.png - PSNR: 29.04 dB; SSIM: 0.8231.
23-04-29 20:29:28.346 : test066.png - PSNR: 38.36 dB; SSIM: 0.9664.
23-04-29 20:29:29.245 : test067.png - PSNR: 24.80 dB; SSIM: 0.8444.
23-04-29 20:29:30.162 : test068.png - PSNR: 26.21 dB; SSIM: 0.8605.
23-04-29 20:29:30.166 : Average PSNR/SSIM(RGB) - bsd68_dncnn_25 - PSNR: 29.23 dB; SSIM: 0.8279
23-04-29 20:29:30.166 : Std Dev : PSNR: 2.58 dB; SSIM: 0.0576
23-04-29 22:01:00.788 : Model path: model_zoo/dncnn_25.pth
23-04-29 22:01:00.789 : Params number: 555137
23-04-29 22:01:00.789 : model_name:dncnn_25, image sigma:25
23-04-29 22:01:00.789 : testsets/bsd68
23-04-29 22:01:01.860 : test001.png - PSNR: 25.96 dB; SSIM: 0.7297.
23-04-29 22:01:02.928 : test002.png - PSNR: 30.29 dB; SSIM: 0.8731.
23-04-29 22:01:03.968 : test003.png - PSNR: 30.17 dB; SSIM: 0.8652.
23-04-29 22:01:05.005 : test004.png - PSNR: 30.74 dB; SSIM: 0.8510.
23-04-29 22:01:06.042 : test005.png - PSNR: 27.68 dB; SSIM: 0.8188.
23-04-29 22:01:07.079 : test006.png - PSNR: 33.07 dB; SSIM: 0.8990.
23-04-29 22:01:08.207 : test007.png - PSNR: 28.76 dB; SSIM: 0.8236.
23-04-29 22:01:09.253 : test008.png - PSNR: 26.29 dB; SSIM: 0.7649.
23-04-29 22:01:10.323 : test009.png - PSNR: 29.14 dB; SSIM: 0.8394.
23-04-29 22:01:11.389 : test010.png - PSNR: 29.84 dB; SSIM: 0.8208.
23-04-29 22:01:12.422 : test011.png - PSNR: 29.17 dB; SSIM: 0.8781.
23-04-29 22:01:13.456 : test012.png - PSNR: 28.45 dB; SSIM: 0.7852.
23-04-29 22:01:14.592 : test013.png - PSNR: 29.62 dB; SSIM: 0.8221.
23-04-29 22:01:15.615 : test014.png - PSNR: 30.94 dB; SSIM: 0.8549.
23-04-29 22:01:16.673 : test015.png - PSNR: 27.31 dB; SSIM: 0.7848.
23-04-29 22:01:17.712 : test016.png - PSNR: 28.23 dB; SSIM: 0.8555.
23-04-29 22:01:18.787 : test017.png - PSNR: 33.00 dB; SSIM: 0.8684.
23-04-29 22:01:19.856 : test018.png - PSNR: 33.08 dB; SSIM: 0.8940.
23-04-29 22:01:20.939 : test019.png - PSNR: 28.32 dB; SSIM: 0.8173.
23-04-29 22:01:22.011 : test020.png - PSNR: 28.99 dB; SSIM: 0.8447.
23-04-29 22:01:23.059 : test021.png - PSNR: 26.46 dB; SSIM: 0.8715.
23-04-29 22:01:24.115 : test022.png - PSNR: 27.21 dB; SSIM: 0.8109.
23-04-29 22:01:25.163 : test023.png - PSNR: 29.00 dB; SSIM: 0.8635.
23-04-29 22:01:26.205 : test024.png - PSNR: 28.78 dB; SSIM: 0.8606.
23-04-29 22:01:27.238 : test025.png - PSNR: 29.56 dB; SSIM: 0.9132.
23-04-29 22:01:28.281 : test026.png - PSNR: 28.65 dB; SSIM: 0.7986.
23-04-29 22:01:29.389 : test027.png - PSNR: 30.09 dB; SSIM: 0.8275.
23-04-29 22:01:30.435 : test028.png - PSNR: 33.22 dB; SSIM: 0.8835.
23-04-29 22:01:31.489 : test029.png - PSNR: 24.49 dB; SSIM: 0.8370.
