Sl. No.,ssim Bilateral,ssim wiener,ssim wavelet,ssim PCA,ssim BM3D,ssim NLM
1,0.48999957391472165,0.5636350861157189,0.6669101415044263,0.809117215734047,0.8527796837633981,0.8494896074321049
2,0.7101530508289965,0.5031994584226154,0.7043282340931991,0.5727257929335084,0.852067550612993,0.8435225339448262
3,0.6262749635203028,0.5450799527088852,0.7032855019758548,0.6925111617165227,0.9089312124909318,0.9147381011013334
4,0.5347361261951776,0.5718058946587763,0.7557052171751201,0.8465370300384288,0.9371917787935679,0.9107715845515355
5,0.6800359615886725,0.6391444778856995,0.6545640510894958,0.6201612847659421,0.8899657136232846,0.8737200504885141
6,0.544994847340203,0.5911245916402962,0.7496073495343941,0.589013436527833,0.9420223726785486,0.939133641584137
7,0.8589116560029492,0.7112675860650213,0.6612845228074502,0.5293225571642071,0.9483308518279644,0.9376221228176187
8,0.6860755679119305,0.6105782221833557,0.7092418767799759,0.6304190283987106,0.857852099991831,0.8441544204160817
9,0.44795821313407796,0.532343245123744,0.6845021230551891,0.797448275758627,0.8861882897622511,0.8731165853891273
10,0.6802434290208408,0.5576208855972942,0.7140283413595655,0.655353099556217,0.8538253444911571,0.846270426245572
11,0.7242837736949218,0.5269060003265097,0.7082636191922795,0.5652204457396804,0.8540094228447467,0.8480674940653039
12,0.5005596278601703,0.5190025698051707,0.7275464071526704,0.8461995329684056,0.9156319171807955,0.8956687526175325
13,0.70513528494515,0.6129500607779662,0.7957760841216567,0.6539825045491767,0.9587209964373181,0.9356101377634854
14,0.6064798266638932,0.605992227164346,0.7703722939684965,0.6520900870225385,0.9183114762036712,0.9007246456321277
15,0.8281568862241607,0.6614473528030004,0.8057955134694256,0.5928630318745437,0.9402635087399861,0.9228344414750707
16,0.43331480038034137,0.5573492853513712,0.7293713694032212,0.8920724408962387,0.9477826760676157,0.9416115276773547
17,0.7543008933412385,0.6120501842381911,0.757409177692261,0.711825916180286,0.9324725340874195,0.8992111074345336
18,0.60179427445471,0.550558973753597,0.7107799941451395,0.6912900578610908,0.8520652685772925,0.8335401971772223
19,0.3998181606817629,0.4715063680339297,0.4764773840793622,0.7066071690749963,0.6484395980880028,0.6899090863928943
20,0.811991218296031,0.6709903097364921,0.7861418782278712,0.6224187832401724,0.9015462027854302,0.8892164770035648
21,0.6145966527846171,0.570807380659088,0.7202951902153301,0.7431143038317839,0.8929392491691375,0.8838729521113027
22,0.7116474194026773,0.5982510065414001,0.7395140184584824,0.6485617476040082,0.9124220754747316,0.9010174554026691
23,0.6541827418347295,0.5696484142681292,0.7617793952745896,0.7287541897622635,0.9374698712682606,0.9055070868945617
