Sl. No.,ssim Bilateral,ssim wiener,ssim wavelet,ssim PCA,ssim BM3D,ssim NLM
49,0.5602582353297075,0.5654190054892062,0.7721949482818335,0.8473687691987958,0.9282548558263493,0.8973986251012633
50,0.5119089193388523,0.6068280767672162,0.7714530186589434,0.8878327584699084,0.9349638721289316,0.9122770914862258
51,0.645423825015461,0.5764667945576283,0.8137897474138344,0.7354515195927146,0.9526904779173919,0.9458472679961668
52,0.8161468023994293,0.5756336284552963,0.7655769918370167,0.5805568656110971,0.9372531512474148,0.9124284913198413
53,0.6471630329153315,0.5530153686509273,0.7338747140174733,0.6781842699926945,0.8830328837322274,0.8551615462503478
54,0.7546762217697207,0.6306607327743499,0.7229119360808296,0.537309770269057,0.8611838795103309,0.8494500859160867
55,0.5007461591169577,0.530006178126885,0.7079291689034362,0.7339665190786315,0.8893472835887946,0.8753175915464326
56,0.7574517002053728,0.634770101511197,0.8000836825027141,0.7349787015715988,0.9432564251828403,0.907880144723281
57,0.7560778171298397,0.5542950731811391,0.7175947011229022,0.49646418964599864,0.8759094866369511,0.8553187554050117
58,0.7841163367719844,0.4929121506937413,0.6972002526614647,0.4690493558168604,0.9193993385696425,0.8921208044599646
59,0.543518260398634,0.5369878438642086,0.7152097209791803,0.749382483098526,0.9372251445478222,0.9192930241302949
60,0.5708719763190039,0.5496154830946108,0.7275505688840515,0.7574241146568641,0.8870652802084548,0.8654047777782033
61,0.5278815179918315,0.5385739308512303,0.7094849036994902,0.7904866335151668,0.891208033020867,0.8705437368821535
62,0.8135800477186146,0.5801397584152533,0.7460189109035312,0.6710600320695003,0.9591598348525868,0.9261558918524907
63,0.5865379054796225,0.5674451486802753,0.6802211429650978,0.7036983858280289,0.9043828229722719,0.8981279031221573
64,0.30375758812851117,0.5057682864015477,0.573488355744891,0.8499231307310504,0.9314616278307968,0.9318795354999619
65,0.5947569399051056,0.5509894226821008,0.6946192348422411,0.7559253411320921,0.9041042820201627,0.8633776844548599
66,0.6152847085980895,0.5500670200105693,0.7621797109214817,0.7567662673738424,0.9023528858595242,0.8734395720182557
67,0.7057603998818194,0.5587455386173875,0.6894568206872644,0.6160576932442063,0.8502987164225524,0.8206698938887356
68,0.6069745252522877,0.5682791033716084,0.7079764429688646,0.7218453930746309,0.8771166850015034,0.8725227679467003
