Sl. No.,image name,noise variance,ssim value
1,0036.png,25,0.8590618914129873
2,0040.png,25,0.7725336743505153
3,0044.png,25,0.8169372336085629
4,0000.png,25,0.9637263471247872
5,0033.png,25,0.8503162254525668
6,0025.png,25,0.8348286242916326
7,0035.png,25,0.8416321171345641
8,0061.png,25,0.7987142771144798
9,0020.png,25,0.863130527505943
10,0008.png,25,0.7373091072688794
11,0011.png,25,0.8787859807613583
12,0059.png,25,0.7905663424808711
13,0066.png,25,0.7911799442023153
14,0047.png,25,0.8749935395187037
15,0054.png,25,0.7825167968005826
16,0056.png,25,0.7990997809010435
17,0039.png,25,0.46993164524962444
18,0051.png,25,0.7858064505808837
19,0026.png,25,0.8798359374931971
20,0027.png,25,0.8194220183567282
21,0013.png,25,0.9031835241498738
22,0021.png,25,0.7995434062602788
23,0048.png,25,0.7958103930913908
24,0042.png,25,0.9315092358361075
25,0007.png,25,0.8810227423768832
26,0063.png,25,0.8956109628836002
27,0029.png,25,0.8752230345840573
28,0003.png,25,0.8150637113675098
29,0038.png,25,0.8781972788008988
30,0009.png,25,0.882105815188383
31,0015.png,25,0.7821430360284194
32,0034.png,25,0.8366499336497187
33,0017.png,25,0.838705176376453
34,0023.png,25,0.8982747793673225
35,0032.png,25,0.841452179743391
36,0002.png,25,0.8574136209553599
37,0045.png,25,0.9019661024179193
38,0018.png,25,0.8848611238698334
39,0016.png,25,0.8529483464447304
40,0014.png,25,0.8496097192559543
41,0050.png,25,0.8170592089650963
42,0012.png,25,0.8276229727942548
43,0053.png,25,0.8312623186690321
44,0046.png,25,0.8707789137648023
45,0049.png,25,0.823954395716992
46,0052.png,25,0.8121569220626789
47,0060.png,25,0.7781187300745871
48,0064.png,25,0.8599511056523594
49,0019.png,25,0.857921221196934
50,0024.png,25,0.8024901783428209
51,0067.png,25,0.8665909989300972
52,0057.png,25,0.7929998441882767
53,0037.png,25,0.9097351463328643
54,0062.png,25,0.7879445393275315
55,0004.png,25,0.8102041613643534
56,0010.png,25,0.8741942431964804
57,0001.png,25,0.814996801258861
58,0041.png,25,0.8205412710915823
59,0006.png,25,0.9260755185076746
60,0058.png,25,0.81051069191983
61,0030.png,25,0.9281606283068735
62,0031.png,25,0.8518058196667407
63,0005.png,25,0.7965785796065754
64,0028.png,25,0.8878767199383877
65,0043.png,25,0.812347334787882
66,0055.png,25,0.8464920713402911
67,0065.png,25,0.7298363118154986
68,0022.png,25,0.8741017667161831
