Sl. No.,image name,noise variance,ssim value
1,0042.png,25,0.9999999999998986
2,0053.png,25,0.9999999999992848
3,0058.png,25,0.9999999999996979
4,0026.png,25,0.9999999999998743
5,0016.png,25,0.9999999999999193
6,0064.png,25,0.9999999999998767
7,0037.png,25,0.9999999999999563
8,0055.png,25,0.9999999999999206
9,0046.png,25,0.9999999999999669
10,0005.png,25,0.9999999999998184
11,0013.png,25,0.9999999999998247
12,0052.png,25,0.9999999999998026
13,0021.png,25,0.9999999999999584
14,0041.png,25,0.999999999999889
15,0010.png,25,0.9999999999997897
16,0018.png,25,0.999999999999969
17,0004.png,25,0.9999999999999146
18,0034.png,25,0.9999999999997119
19,0029.png,25,0.9999999999999218
20,0043.png,25,0.9999999999998259
21,0003.png,25,0.9999999999999193
22,0061.png,25,0.9999999999995577
23,0060.png,25,0.9999999999998642
24,0065.png,25,0.9999999999999506
