Sl. No.,image name,noise variance,ssim value
1,0065.png,25,0.609869866958013
2,0059.png,25,0.6502394161140317
3,0058.png,25,0.6296399284456554
4,0064.png,25,0.6094554790405607
5,0066.png,25,0.6727816074991458
6,0067.png,25,0.6175844975797806
7,0063.png,25,0.7162236551730511
8,0062.png,25,0.6426750084364093
9,0048.png,25,0.5845992786657345
10,0060.png,25,0.6487811420646817
11,0061.png,25,0.6550935601386217
12,0049.png,25,0.5926831725877494
13,0006.png,25,0.6254833843300799
14,0012.png,25,0.6416775618317291
15,0013.png,25,0.6780310472631295
16,0007.png,25,0.5848673468262545
17,0011.png,25,0.6558913543709084
18,0005.png,25,0.620618786935966
19,0039.png,25,0.6324102078330013
20,0038.png,25,0.6592528928970468
21,0004.png,25,0.6282273086673494
22,0010.png,25,0.6084653668389651
23,0028.png,25,0.6242515863515917
24,0014.png,25,0.605562633925312
25,0000.png,25,0.6569811127347532
26,0001.png,25,0.6209735653204563
27,0015.png,25,0.5741215503378388
28,0029.png,25,0.6507058396141461
29,0003.png,25,0.6248180420583992
30,0017.png,25,0.6356973931272357
31,0016.png,25,0.6363922885049443
32,0002.png,25,0.6782354370429926
33,0027.png,25,0.5766235441646241
34,0033.png,25,0.5557807003824435
35,0032.png,25,0.7178390688150365
36,0026.png,25,0.5817603019279822
37,0030.png,25,0.6374533604233394
38,0024.png,25,0.6213134208505036
39,0018.png,25,0.5780044563887581
40,0019.png,25,0.6390908290473022
41,0025.png,25,0.6369504223458189
42,0031.png,25,0.6424103306582012
43,0009.png,25,0.657369289489299
44,0035.png,25,0.5533790828581422
45,0021.png,25,0.6390391468262697
46,0020.png,25,0.6288646367345772
47,0034.png,25,0.6496358835961028
48,0008.png,25,0.5928572778816125
49,0022.png,25,0.6013756216133667
50,0036.png,25,0.6272330254907221
51,0037.png,25,0.6035118966600524
52,0023.png,25,0.6563333216857201
53,0044.png,25,0.6157971536734675
54,0050.png,25,0.6618034928398042
55,0051.png,25,0.6051376961960541
56,0045.png,25,0.6336560506642469
57,0053.png,25,0.6655502776274158
58,0047.png,25,0.6500196850952178
59,0046.png,25,0.6094255701298693
60,0052.png,25,0.5961712743773457
61,0056.png,25,0.6023124514625666
62,0042.png,25,0.652116791003816
63,0043.png,25,0.6213556539657061
64,0057.png,25,0.559211443024031
65,0041.png,25,0.6252434242110384
66,0055.png,25,0.612468859261348
67,0054.png,25,0.6577878130426135
68,0040.png,25,0.6159411527549636
